moghulistan1487 1487 1513
mongol1490 1490 1509
oirats1490 1490 1509
oirats1438 1438 1489
chagatai1305 1305 1360
tashkent 1487 1502
oirats1399 1399 1437
mongol1399 1399 1437
mongol1368 1368 1398
yuan_mongol1271 1271 1278
chagatai1270 1270 1304
kaidu1270 1270 1304
chagatai1262 1262 1269
mongol1262 1262 1270
mongol1259 1259 1261
mongol1218 1218 1258
mongol1206 1206 1217
kara_khitan 1125 1217
khitan907 907 1124
kara_khanid 840 1124
kazakhstan 1991
uzbekistan 1991
turkmenistan 1991
kyrgyzstan 1991
tajikistan 1991
afghanistan 1747
kazakh1500 1500 1730
khiva1747 1747 1872
bukhara1709 1709 1875
kokand1709 1709 1875
ru_kazakh 1820 1917
ru_khiva 1873 1875
turkmens 1447 1884
ru_turkestan1876 1876 1884
ru_junior_juz1731 1731 1782
ru_middle_juz 1798 1819
middle_juz 1731 1797
senior_juz 1731 1819
kyrgyz_assr1918 1918 1921
turkestan_assr 1918 1921
ru_junior_juz1783 1783 1819
ru_bukhara 1876 1917
ru_turkestan1866 1866 1875
ru_turkestan1897 1897 1917
transcaspian_obl 1885 1896
khwarezm_nsr 1918 1921
bukhara_nsr 1918 1921
turkmen_ssr 1924 1990
khwaresm_ssr 1922 1923
bukhara_ssr 1922 1923
turkestan_assr1922 1922 1923
uzbek_ssr1924 1924 1928
karakalpak_ao 1924 1931
karakyrgyz_ao 1924 1924
kyrgyz_ao 1925 1925
kyrgyz_assr1922 1922 1924
kasakh_assr 1925 1935
kyrgyz_assr 1926 1935
tajik_ssr 1929 1990
uzbek_ssr1929 1929 1935
karakalpak_assr 1932 1935
uzbek_ssr 1936 1990
kyrgyz_ssr 1936 1990
kazakh_ssr 1936 1990
persian_afghan 1738 1746
afghan1709 1709 1737
persian_khiva 1740 1746
khiva1510 1510 1739
bukhara1503 1503 1708
timurid1510 1510 1521
timurid1500 1500 1509
bukhara1500 1500 1502
persian_afghan1522 1522 1708
timurid1361 1361 1499
kazakh1468 1468 1499
kazakh1466 1466 1467
uzbeks1466 1466 1467
uzbeks1429 1429 1465
chagatai1361 1361 1486
khwaresm1194 1194 1230
khrs_khwaresm1095 1095 1193
karakhan_khwaresm 990 1088
smnd_khwaresm934 934 989
smnd_khwaresm900 900 933
smnd_khwaresm875 875 899
abb_khwaresm819 819 867
umay_khwaresm717 717 749
abb_khwaresm750 750 818
abb_khwaresm868 868 874
khwaresm_lands711 711 716
umay_khwaresm711 711 716
khwaresm_lands603 603 710
uyghur744 744 839
gokturks683 683 743
tang_turks657 657 682
w_gokturks582 582 656
tang_tukrs630 630 656
gokturks582 582 629
gokturks572 572 581
gokturks553 553 571
w_gokturks553 553 571
gokturks552 552 552
rouran 399 551
wturk_khwaresm582 582 602
turk_khwaresm572 572 581
wturk_khwaresm563 563 571
hephthalite 425 562
avars 552 804
huns 349 452
ssnd_khwaresm230 230 424
kushan_khwaresm29 29 79
xiongnu215m -215 219
kushan_khwaresm80 80 229
tochar_khwaresm -129 28
khwaresm_lands329m -329 -130
alex_khwaresm -330 -330
khwaresm_lands -6000 -521
persian_khwaresm -520 -331
srb_kosovo2006 2006 2007
aut_poland1866 1866 1866
authung_poland 1867 1917
aut_poland1806 1806 1813
