syria 1961
greece 1944
turkey 1922
cyprus 1974
n_cyprus 1983
lebanon 1945
israel 1948
palestine 1948
jordan 1946
iraq 1945
iran 1945
kuwait 1961
saudi_arabia 1932
bahrain 1971
qatar 1971
emirates 1971
oman 1971
yemen 1990
azerbaijan 1991
armenia 1991
georgia 1991
turk_kurds 1922
syr_kurds 1961
thrace279m -279 45
tocharians -129 28
parthia140m -140 19
bosporus46m -46 13
rm_bosporus14 14 254
iberia301m -301 -1
caucasian_albania -301 -1
parth_corduene30m -30 -20
parthian_armenia30m -30 -20
rm_corduene34m -34 -31
parth_corduene52m -52 -35
rm_armenia34m -34 -31
parthian_armenia52m -52 -35
pontus74m -74 -47
armenia94m -94 -53
rm_corduene68m -68 -53
judea129m -129 -64
rm_greece71m -71 -67
crete275m -275 -67
rm_greece99m -99 -72
rhodes300m -300 -72
pontus107m -107 -75
bithynia84m -84 -75
paphlagonia84m -84 -75
galatia84m -84 -75
cilicia129m -129 -84
seleucid248m -248 -190
commagene -189 -84
pontian_bithynia -104 -85
pnt_paphlagonia104m -104 -85
pontian_galatia -87 -85
cappadocia255m -255 -95
galatia275m -275 -88
armenia189m -189 -95
sophene189m -189 -95
rm_greece147m -147 -100
byzantium279m -279 -100
bithynia189m -189 -105
paphlagonia178m -178 -105
bosporus438m -438 -108
pontus183m -183 -108
pergamon261m -261 -130
greco_bactrian248m -248 -130
rm_greece168m -168 -148
sparta278m -278 -148
achaea200m -200 -148
aetolia200m -200 -148
parthia248m -248 -141
atropatene189m -189 -141
seleucid_judea131m -131 -130
judea140m -140 -132
epirus479m -479 -169
macedonia200m -200 -169
pnt_paphlagonia180m -180 -179
paphlagonia300m -300 -181
sinop300m -300 -184
pontus300m -300 -184
seleucid_armenia -211 -190
bithynia297m -297 -190
chalcedon297m -297 -190
seleucid_atropatene -218 -190
macedonia261m -261 -201
armenia300m -300 -212
atropatene300m -300 -219
macedonia279m -279 -262
aetolia278m -278 -262
achaea278m -278 -262
athens278m -278 -262
seleucid255m -255 -249
seleucid189m -189 -84
seleucid261m -261 -256
seleucid275m -275 -260
seleucid300m -300 -276
egyptian_crete300m -300 -276
greece286m -286 -279
seleucid_thrace -280 -280
seleucid_macedonia -280 -280
thrace297m -297 -281
thracean_macedonia -286 -281
macedonia322m -322 -287
mac_greece293m -293 -287
greece300m -300 -294
mac_greece322m -322 -301
thrace300m -300 -298
mac_thrace322m -322 -301
diadochi -322 -301
diadochian_armenia -322 -301
alex_persia -330 -323
alex_thrace -335 -323
alex_greece330m -330 -323
alexanders_empire -335 -323
alex_armenia -330 -323
persia538m -538 -331
alex_greece335m -335 -331
sparta930m -930 -331
persian_armenia550m -550 -547
thrace478m -478 -336
macedonia807m -807 -336
mac_greece337m -337 -336
corinth -1074 -338
athens1100m -1100 -338
greeks776m -776 -338
persia546m -546 -539
babylonia614m -614 -539
persia550m -550 -547
lydia -687 -547
medes608m -608 -551
colchis900m -900 -590
persian_armenia538m -538 -331
persian_armenia546m -546 -539
medean_armenia -590 -551
urartu -860 -591
medes710m -710 -609
assyria1353m -1353 -609
anshan -700 -609
elam750m -750 -645
babylonia668m -668 -649
phrygia1200m -1200 -695
babylonia723m -723 -710
judea930m -930 -722
aramaeans723m -723 -722
israel930m -930 -722
philistines859m -859 -722
carchemish -1342 -718
babylonia1459m -1459 -731
aramaeans2000m -2000 -735
phoenicia -1180 -741
israel1029 -1030 -931
philistines1180m -1180 -1001
mycenaean1400m -1400 -1101
elam1410m -1410 -1165
hittites -1680 -1178
assyrian_mitanni -1321 -1240
hittian_mitanni -1342 -1322
mitanni -1590 -1343
mycenaean1500m -1500 -1401
minoan -3100 -1401
babylonia1525m -1525 -1460
sealand1660m -1660 -1460
mitannian_assyr -1471 -1354
assyria1685m -1685 -1472
elam1939m -1939 -1500
babylonia1660m -1660 -1531
babylonia1698m -1698 -1661
babylonian_assyr -1698 -1686
assyria1975m -1975 -1699
babylonia1710m -1710 -1699
larsa1729m -1729 -1699
babylonia1830m -1830 -1711
mari1900m -1900 -1711
eshnunna -1938 -1711
larsa1858m -1858 -1730
isin1830m -1830 -1730
isin1858m -1858 -1831
ur1939m -1939 -1939
ur1953m -1953 -1940
isin1953m -1953 -1859
ur1975m -1975 -1954
ur2032m -2032 1975
ur2044m -2044 -2033
elam2152m -2152 -2033
ur2049m -2049 -2045
uruk -2169 -2045
ur2055m -2055 -2050
guti2055m -2055 -2050
guti2082m -2082 -2056
guti2141m -2141 -2083
akkad2152m -2152 -2083
akkad2169m -2169 -2153
akkad2189m -2189 -2170
akkad2268m -2268 -2190
elam2400m -2400 -2190
mari2900m -2900 -2269
ebla3500m -3500 -2269
